,Date,Peak Generation (MW),Lowest Generation (MW),Energy Recorded(Mwh),Generation at 6:00hrs (MW),Highest System Frequency (Hz),Lowest System Frequency (Hz),Highest Voltage Recorded (kV),Lowest Voltage Recorded (kV)
164,2020-06-28,4425.1,2478.7,80272.88,2611.3,51.37,50.0,363.0,300.0
165,2020-06-29,4268.0,2941.6,86030.45,3195.3,50.54,49.74,355.0,300.0
166,2020-06-30,4319.7,2587.9,85132.29,2902.2,50.86,50.02,355.0,300.0
167,2020-07-01,4502.9,2911.7,88730.07,3055.4,50.6,49.63,352.0,300.0
168,2020-07-02,4567.9,3106.0,92622.27,3372.3,50.47,49.68,351.0,300.0
169,2020-07-03,4544.0,3342.6,92981.81,3600.1,50.58,49.87,353.0,300.0
170,2020-07-04,4186.5,2133.3,75106.6,2283.8,51.33,49.81,358.0,300.0
171,2020-07-05,4457.8,2700.1,81370.93,2873.9,50.9,50.07,357.0,300.0
172,2020-07-07,4583.6,2920.6,88766.06,3109.0,50.71,49.96,353.0,300.0
173,2020-07-08,4893.7,2895.9,90202.41,3001.2,50.76,50.08,356.0,300.0
174,2020-07-09,4852.2,3133.4,95099.11,3422.6,50.85,49.7,353.0,290.0
175,2020-07-10,4752.8,2890.3,89548.99,2995.3,50.89,50.11,360.0,294.0
176,2020-07-11,4945.6,2938.5,87105.11,3193.1,51.03,49.99,354.0,285.0
177,2020-07-12,4691.5,3148.4,89292.78,3458.1,50.72,50.11,355.0,300.0
178,2020-07-13,4987.8,2886.8,95534.21,3225.9,50.66,50.04,356.0,300.0
179,2020-07-14,4662.0,3181.8,94063.8,3376.1,50.64,49.33,354.0,300.0
180,2020-07-15,4858.5,2830.0,92934.21,3074.6,50.77,50.08,354.0,285.0
181,2020-07-16,5093.9,2949.3,93926.08,3269.6,50.63,50.11,353.0,300.0
182,2020-07-17,4806.2,3032.0,93888.47,3363.9,50.68,50.11,354.0,280.0
183,2020-07-18,4936.1,3013.0,91733.5,3283.6,50.68,49.64,355.0,300.0
184,2020-07-19,4808.1,3148.1,91922.48,3511.8,50.97,50.05,355.0,300.0
185,2020-07-20,4803.2,2890.9,90800.88,3158.3,50.97,49.78,357.0,300.0
186,2020-07-21,4861.6,3163.7,95098.75,3512.2,50.84,49.94,351.0,300.0
187,2020-07-22,4982.4,3089.5,95517.82,3362.3,50.81,49.76,358.0,300.0
188,2020-07-23,5125.6,3005.3,96264.33,4565.7,50.73,49.76,358.0,300.0
189,2020-07-24,5073.7,3137.5,96326.52,3466.5,50.77,48.22,357.0,300.0
190,2020-07-25,5048.8,3056.3,92510.14,3219.0,50.64,49.64,355.0,300.0
191,2020-07-26,4852.2,3163.5,91015.91,3341.2,50.77,49.54,354.0,285.0
192,2020-07-27,5227.0,3062.9,92203.75,3068.5,50.97,49.93,354.0,300.0
193,2020-07-28,5271.7,3267.8,98852.21,3551.0,50.5,49.99,353.0,295.0
194,2020-07-29,5118.1,3289.0,99391.53,3567.0,50.61,49.96,353.0,300.0
195,2020-07-30,4427.7,3366.1,95157.83,3613.3,50.77,50.01,357.0,300.0
196,2020-07-31,4937.5,2950.6,93809.26,2995.2,50.93,49.76,356.0,280.0
197,2020-08-01,5377.8,3006.0,95179.56,3101.6,50.84,50.04,355.0,280.0
198,2020-08-02,4819.0,3382.7,95745.89,3559.4,50.75,49.92,355.0,304.0
199,2020-08-03,5048.1,3014.1,94427.81,3215.3,50.81,49.22,356.0,300.0
200,2020-08-04,5339.1,3163.1,98511.39,3542.7,50.73,49.78,354.0,300.0
201,2020-08-05,5174.2,3330.4,100043.01,3696.2,50.83,49.8,354.0,300.0
202,2020-08-06,4856.1,3228.9,94375.4,3540.1,50.82,50.1,355.0,300.0
203,2020-08-07,5257.3,2967.9,98065.37,3282.3,50.98,50.09,356.0,300.0
204,2020-08-08,5191.9,3125.8,95658.93,3473.7,50.73,50.12,354.0,300.0
205,2020-08-09,5114.7,3182.4,95828.3,3519.1,50.9,49.99,354.0,290.0
206,2020-08-10,5041.0,3000.9,96465.51,3327.6,50.9,50.12,355.0,300.0
207,2020-08-11,5238.1,3045.6,97804.2,3472.0,50.67,50.01,354.0,285.0
208,2020-08-12,5177.2,3134.4,99520.73,3442.4,50.9,49.78,355.0,280.0
209,2020-08-13,4575.3,3546.9,99655.15,3710.5,50.74,49.75,351.0,300.0
210,2020-08-14,4866.9,3209.2,95596.54,3459.2,50.69,49.3,356.0,300.0
211,2020-08-15,5026.2,3146.2,92748.27,3385.0,50.8,49.45,356.0,300.0
212,2020-08-16,4968.3,3395.2,95424.07,3869.6,50.55,49.92,355.0,290.0
213,2020-08-17,5227.5,3314.9,100748.96,3671.2,50.57,49.46,355.0,300.0
214,2020-08-18,5420.3,3390.1,102606.31,3636.9,50.52,49.96,352.0,295.0
215,2020-08-19,5265.3,3544.0,103073.41,3877.5,50.56,50.1,352.0,303.0
216,2020-08-20,5063.3,3153.0,99058.09,3356.4,50.98,50.98,356.0,303.0
217,2020-08-21,4833.0,3080.7,92204.95,3330.0,50.81,49.96,354.0,300.0
218,2020-08-22,4937.6,2991.8,92273.45,3201.0,50.86,50.18,357.0,300.0
219,2020-08-23,4962.9,3236.6,95628.33,3662.6,50.76,49.91,355.0,300.0
220,2020-08-24,5231.6,2998.3,96179.83,3282.6,50.99,50.07,353.0,300.0
221,2020-08-25,5260.3,3386.8,101429.02,3824.4,50.74,49.93,350.0,300.0
222,2020-08-26,5252.3,3426.9,100830.89,3833.0,50.83,49.95,350.0,300.0
223,2020-08-27,5307.6,3417.3,103140.99,3807.0,50.77,49.85,359.0,280.0
224,2020-08-28,4973.4,3556.0,99341.45,3764.7,50.48,49.55,359.0,300.0
225,2020-08-29,5066.9,3113.4,94115.88,3286.6,50.53,49.93,357.0,300.0
